business_name,business_niche,address,city_area,phone_number,whatsapp,website,social_media_links,google_maps_url,email,email_validation_status,date_collected
Telefonica,electronics_stores,,Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
Huawei,electronics_stores,,Airport-Residential,+233558222220,+233558222220,,,OpenStreetMap,,N/A,2026-04-05
iShop,electronics_stores,,Airport-Residential,+233544336856,+233544336856,,,OpenStreetMap,,N/A,2026-04-05
Electronics Hub,electronics_stores,,Airport-Residential,+233558202424,+233558202424,,,OpenStreetMap,,N/A,2026-04-05
Smice,electronics_stores,,Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
Smice International,electronics_stores,,Airport-Residential,,,,,OpenStreetMap,,N/A,2026-04-05
