business_name,business_niche,address,city_area,phone_number,whatsapp,website,social_media_links,google_maps_url,email,email_validation_status,date_collected
S.S STUDIOS,photography_studios,,Airport-Residential,,,,,Google Maps,,N/A,2026-04-05
Mighty Signature,photography_studios,,Airport-Residential,,,,,Google Maps,,N/A,2026-04-05
Photo Club Marina Mall,photography_studios,,Airport-Residential,,,,,Google Maps,,N/A,2026-04-05
Javie photography studios,photography_studios,,Airport-Residential,,,,,Google Maps,,N/A,2026-04-05
Akyedze Photography Accra,photography_studios,,Airport-Residential,,,,,Google Maps,,N/A,2026-04-05
PAK Photography Studio,photography_studios,,Airport-Residential,,,,,Google Maps,,N/A,2026-04-05
Oasis Studios,photography_studios,,Airport-Residential,,,,,Google Maps,,N/A,2026-04-05
