business_name,business_niche,address,city_area,phone_number,whatsapp,website,email,date_collected
ADvTECH,School / Education Group,"1 Sandton Dr, Sandton",Rosebank,+27 11 731 7700,+27 11 731 7700,https://www.advtech.co.za,,2025-07-08
Crawford International School,School / Private,"Benmore Rd, Sandton",Rosebank,+27 11 234 0380,+27 11 234 0380,https://www.crawfordschools.co.za,,2025-07-08
Curro Academy Sandton,School / Private,"Cnr Main & Rivonia Rd, Sandton",Rosebank,+27 11 070 5400,+27 11 070 5400,https://www.curro.co.za,,2025-07-08
